id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
226,Krossfjord,NO,2,9307891.0,LMPZ,1526.0,62.0,1,True,True
227,Havglans,NO,2,9383833.0,LCUZ,1363.0,63.0,1,True,True
228,Roaldsen,NO,2,9223291.0,LJYA,1183.0,59.0,1,True,True
229,Hargo,NO,2,9194323.0,LLAS,1190.0,62.0,1,True,True
230,Vea (Peru),PE,2,9314454.0,OA2857,1475.0,60.0,1,True,True
239,Venus,IS,2,9718296.0,TFVT,3670.0,81.0,1,True,True
240,Beitir,IS,2,9674830.0,TFES,4138.0,86.0,1,True,True
241,Vikingur,IS,2,9718301.0,TFWV,3670.0,81.0,1,True,True
242,Bardi NK120,IS,2,9622966.0,TFEN,3588.0,80.0,1,True,True
243,Bjarni Olafsson,IS,2,9195781.0,TFRH,1969.0,67.0,1,True,True
244,Adalsteinn Jonsson,IS,2,9283461.0,TFDN,4419.0,94.0,1,True,True
245,Ango,FO,2,9171034.0,XPRO,1776.0,68.1,1,True,True
246,Andrea L,NO,2,9532707.0,3YIV,2185.0,71.0,1,True,True
247,Vestmenningur,FO,2,9147150.0,OW2041,2060.0,72.8,1,True,True
248,Sigurdur,IS,2,9665815.0,TFMR,3670.0,81.0,1,True,True
250,Viking 1,OM,2,9212357.0,A4HF9,3003.0,70.0,1,True,True
251,Jón Kjartansson SU311,IS,2,7728601.0,LR TFIB,1692.0,74.0,3,True,False
252,Ísleifur,IS,2,9211688.0,NV TFET,1999.0,66.0,3,True,True
253,Alsey (RU),RU,2,8602866.0,UBSS9,2155.0,66.0,1,True,False
254,Huginn,IS,2,9211690.0,TFQW,2724.0,75.0,1,True,True
255,ENIGMA ASTRALIS,RU,2,9217149.0,UCOK,3131.0,77.0,3,True,False
256,Ostrovnoy 8,RU,2,8714724.0,UBVP4,1086.0,54.0,1,True,False
257,Asgrimur Halldorsson SF 200,IS,2,9225108.0,TFBL,1528.0,61.0,1,True,True
258,Jupiter VE 161,IS,2,7414195.0,TFLK,1741.0,71.0,1,True,True
259,Hoffell II SU,IS,2,7931076.0,LR TFLF,1292.0,61.0,3,True,False
260,Zvezda Severa,RU,2,7382914.0,UBFY8,1153.0,69.0,1,True,True
310,Junior HG 365,DK,2,9202455.0,OULE,1198.0,56.0,1,True,True
311,Themis,DK,2,9686596.0,OVRY,2538.0,70.0,1,True,True
312,Borgarin,FO,2,9278258.0,XPSE,2921.0,78.0,1,True,True
313,Jon Kjartansson SU111,IS,2,9268124.0,TFFF,2424.0,71.0,1,True,True
339,Atlant,RU,2,9205201.0,UBJT8,1198.0,59.0,1,True,True
346,Gambler,NO,2,6926622.0,LELC,1309.0,70.0,3,True,True
353,Ruth (CL),CL,2,9244166.0,CA7557,1514.0,64.0,1,True,False
357,Hoyvík,FO,2,7719985.0,XPSA,2061.0,66.0,1,True,True
358,Favorit,RU,2,9131591.0,UBYU2,1428.0,57.0,1,True,False
359,Arctic Voyager,FO,2,9167904.0,XPUT,2205.0,71.0,1,True,True
360,Gudrun Torkelsdottir,IS,2,9171022.0,TFDD,1773.0,76.0,1,True,True
361,GRETHE HVIID,DK,2,8510972.0,OWLM,630.0,52.0,3,True,True
363,Ola Ryggefjord,NO,2,9350616.0,JXUE,2499.0,76.0,1,True,True
364,Sudurey,IS,2,9350628.0,TFOS,1337.0,63.0,1,True,True
365,Hoffell SU 80,IS,2,9414709.0,TFLF,2967.0,75.0,1,True,True
366,Cattleya,DK,2,9636046.0,OUTT,2002.0,70.0,1,True,True
367,Herøyfjord,NO,2,9674440.0,LGSJ,2160.0,69.95,1,True,True
369,Gøtunes,FO,2,9809265.0,OW2023,4624.0,90.0,1,True,True
370,Slaatterøy,NO,2,9729829.0,LGFV,3720.0,87.8,1,True,True
371,Beinur,DK,2,9746097.0,OWAR,2760.0,78.0,1,True,True
372,Ceton,DK,2,9806847.0,OUHA,2135.0,70.0,1,True,True
373,Gitte Henning,DK,2,9806859.0,OXNP,1568.0,63.0,1,True,True
374,Ginneton (RU),RU,2,9150016.0,UBYS7,1424.0,58.0,1,True,False
375,Ellen Bach,DE,2,9211676.0,DKIH2,764.0,52.0,1,True,True
376,Helen Mary,DE,2,9126364.0,DQLI,7278.0,117.0,1,True,True
380,Tsaritsa,RU,2,8707446.0,UBFR7,7646.0,126.0,1,True,False
382,Annie Hillina,DE,2,8028412.0,DEDT2,2417.0,86.0,3,True,True
383,Maartje Theadora,DE,2,9182801.0,DEAN2,9082.0,140.8,1,True,True
390,Kairos,BZ,2,8012085.0,V3AY2,2068.0,86.0,1,True,False
416,Prins Bernhard,FR,2,8224406.0,FKHH,2610.0,88.0,1,True,True
418,Zephyr (NA),,2,9147162.0,V5IG,2060.0,73.0,1,True,False
419,Sunbeam,PE,2,9184158.0,OA3081,1349.0,56.0,1,True,True
420,Gitte,RU,2,9274795.0,UBIX7,1759.0,64.0,1,True,True
421,Ligrunn II,NO,2,9287508.0,JXXI,2282.0,70.0,1,True,True
422,Chilindrin Primero,ES,2,9286671.0,EAWX,1676.0,65.0,1,True,True
423,Jupiter,FO,2,9273777.0,XPYT,2809.0,76.0,1,True,True
424,Chris Andra,GB,2,9361794.0,MLLX8,2247.0,71.0,1,True,True
425,Margret EA 710,IS,2,9388572.0,TFCG,2411.0,71.96,4,True,True
426,Quantus,GB,2,9417294.0,2AJS2,2084.0,65.0,1,True,True
427,Lilly Maud,NO,2,9411678.0,LFOA,2259.0,69.0,1,True,True
430,Havilah,GB,2,9193771.0,2HRN5,742.0,52.0,1,True,True
431,Gerda Marie,NO,2,9762259.0,LGFQ,3080.0,79.0,1,True,True
432,Antares LK419,GB,2,9783253.0,MACW7,2974.0,75.0,1,True,True
433,Voyager,GB,2,9794874.0,MBMB8,4290.0,86.0,4,True,True
434,Heimaey,IS,2,9763095.0,TFGH,2935.0,79.0,1,True,True
435,Grateful,GB,2,9794953.0,MAUA2,2388.0,70.0,1,True,True
436,Stefanie M (UK),GB,2,9334337.0,2IRY7,834.0,51.0,4,True,True
437,Komesho,,2,8707537.0,V5EW,5579.0,114.0,1,True,False
438,Wiron 5,GB,2,9249556.0,2HGD8,1230.0,51.0,1,True,True
