id,name,processed
4001,Vikingbank,False
4015,Isafold,False
4093,Elias Johan,False
4101,Liafjord,False
4208,Vikanøy,False
4212,Gollenes,False
4240,Ginneton,False
4243,Skipsholmen,False
4244,Vea R-30-K,False
4248,Christina S,False
4271,Arnøytind,False
4288,Sille Marie,False
4292,Trønderhav,False
4356,Havsnurp,False
4539,Havfisk,False
4540,Knester,False
4544,Christian Í Grótinum,False
4710,Hakon TH250,False
4711,Høgaberg,False
4712,Finnur Fríði,False
4713,Herøyhav,False
4714,Jarle Berg,False
4849,Trønderbas,False
4883,Carmona,False
9257,Westfjord,False
12288,Antarctic LK 145,False
13017,Havfisk,False
1,Snæfell,False
2,Enniberg,False
3,Melkart-7,False
5,Arctic Viking,False
6,Arctic Lion,False
107,Arctic Swan,False
108,Gadus Poseidon,False
109,Gadus Neptun,False
110,Melkart-5,False
111,Rypefjord,False
112,Hera,False
116,J. Bergvoll,False
117,Synes,False
119,Friosur XI,False
128,Havtind,False
129,Vesttind,False
134,Holmøy,False
136,Gadus Njord,False
139,Prestfjord,False
143,Ishavet,False
149,Atlantic Viking,False
150,Molnes,False
151,Nordstar,False
152,Atlantic Star,False
154,Havstrand,False
155,Roaldnes,False
166,Remøy,False
171,Nord Tral,False
180,Ramoen,False
263,Vigri RE,False
264,Anik,False
265,Hrafn Sveinbjarnarson GK255,False
266,Arnar HU,False
268,Zapolyarye,False
269,Gnupur,False
271,Orfirisey,False
272,Nordbas,False
273,Blængur NK,False
274,Gudmundur i Nesi,False
275,Julius Geirmundsson,False
335,Langøy,False
336,Granit,False
344,Jawhart Al Wusta,False
355,Nordtind,False
362,Ocean Tiger,False
377,Mark,False
378,Cuxhaven,False
379,Kapitan Bulatov,False
381,Te Hikita,False
386,Reval Viking,False
387,Steffano,False
388,Joseph Roty 2,False
391,Harvest Cap Nord,False
392,Klondyke 139,False
415,Emeraude,False
428,DW Nova,False
429,Lodairo,False
453,NIDA,False
455,Taurus (LT),False
456,Auseklis,False
462,SENATOR,False
470,SALDUS,False
479,Santa Princesa,False
480,Vasiliy Filippov,False
487,Coimbra,False
493,Cidade De Amarante,False
510,Esperanza Menduina,False
511,Arosa Nueve,False
546,Monte Meixueiro,False
554,Santa Princesa,False
556,Akamalik,False
557,Barentsburg,False
558,Polar Qaasiut,False
560,Kiliutaq,False
562,Polar Nanoq,False
563,Polar Princess,False
564,Kanin Nos,False
565,Lokys,False
566,Tomas Tor­valds­son,False
567,Svend C,False
568,Solborg,False
571,Tasermiut,False
576,Kem,False
578,Rio Solis IV,False
595,Efim Kostyukov,False
598,Alferas,False
599,Aliot,False
602,Aleksandr Mironenko,False
603,Aquamarine,False
604,Arkhangelsk,False
605,Belomorsk,False
607,Bootes,False
608,Borey,False
610,Boris Zaytsev,False
611,Brest,False
613,Chernigov,False
614,Distinkt,False
615,Forpost,False
619,Guldrangur,False
625,Kapitan Demidenko,False
626,Kapitan Dolgikh,False
627,Kapitan Gerashcenko,False
628,Karelia,False
629,Kapitan Gromtsev,False
631,Kapitan Nazin,False
633,Karacharovo,False
634,Karelia II,False
635,Kepromar,False
636,Kholmogory,False
638,Polarpesca,False
642,Martha Arendsee,False
643,Mekhanik Sergey Agapov,False
645,Melkart,False
646,Melkart-2,False
647,Melkart-3,False
648,Mirakh,False
649,Mys Chikhacheva,False
650,Mys Gvozdeva,False
651,Mys Korsakova,False
655,Mys Sheltinga,False
656,Mys Slepikovskogo,False
658,Nord West,False
659,Nordkap (RU),False
660,Obeliai,False
661,Oksino,False
665,Orvar,False
666,Osveyskoye,False
668,Pechora,False
671,Proekt,False
672,Rossyoki,False
675,Rybak,False
676,Saami,False
677,Sayda,False
678,Polarpesca II,False
680,Sevryba-1,False
683,Strelets,False
684,Taurus (RU),False
686,Tezey,False
689,Tor,False
690,Vasiliy Golovnin,False
692,Vega,False
693,Baiga,False
694,Viking,False
697,Vitus Bering,False
698,Vityaz,False
700,Vladimir Zagoskin,False
701,Yagry,False
702,Yakov Gunin,False
703,Zakhar Sorokin,False
705,Zvezda Murmana,False
706,Sankt-Peterburg,False
707,Mark Liubovskii,False
708,Proekt-1,False
710,Båtsfjord,False
711,Kågtind II,False
712,Kirkella,False
716,Kapitan Durachenko,False
717,Solberg,False
732,Kildin MK-1969,False
747,Doggi,False
799,Haltentrål,False
905,Northern Eagle (RU),False
906,Shpitcbergen,False
953,Tsefey,False
957,Melkart-4,False
959,Regina C,False
973,Merike,False
978,Andre Leduc,False
979,Bressay Bank,False
981,Cap Saint Georges,False
995,Boris Syromyatnikov,False
996,Ester,False
997,Yantarnyy,False
998,Zamoskvorechye,False
999,Staryy Arbat,False
1000,Armenak Babaev,False
1001,Arctica,False
1003,Bratya Stoyanovy,False
1004,Lazurnyy,False
1005,Kurshskaya Kosa,False
1006,Baltiyskaya Kosa,False
1007,Lira,False
1008,Valeriy Dzhaparidze,False
1011,Markus,False
1013,Tuullik,False
1021,Arctic Endurance,False
1024,Karine H,False
1026,Hvítanes,False
1028,Mersey Phoenix,False
1032,Dorado II,False
1033,Northern Osprey III,False
1035,Vilkas,False
1036,Saputi,False
1039,Northern Glacier,False
1185,Vityaz,False
1189,Sisimiut,False
1195,Iosif Shmelkin,False
1198,Aleksey Anichkin,False
1255,Komandor,False
1284,Polar Arfivik,False
1368,Centurion Del Atlantico,False
1432,Nivenskoye,False
1433,FLIPPER X,False
1436,Lazurnyy,False
1437,Kozlovo,False
1438,Kapitan Rogozin,False
1442,Ostankino,False
1443,Ozherelye,False
1447,Kapitan Sulimov,False
1448,Daria,False
1452,Almak,False
1453,Aqissiaq II,False
1461,Olga 1,False
1506,Izumrud,False
1554,Polar Nattoralik,False
1579,Avataq,False
1697,Koyda 2,False
1931,Kappin,False
1973,Egunabar,False
1977,Hafnarey,False
1987,Nerey,False
1988,Nerpa,False
1990,Severnaya Zemlya,False
1991,Severyanin II,False
2022,Irvas,False
2026,Tytuvenai,False
2053,Kongsfjord,False
2057,Svyatoy Spiridon,False
2135,Senja,False
2270,Ametist,False
2277,Voykovo,False
2280,Galatis,False
2327,Dolphin,False
2349,Krym,False
2353,Neva,False
2359,Oma,False
2923,Therney,False
3444,Hermes,False
3460,Sunderøy,False
3463,Laima,False
3803,Barentsevo More,False
3832,Nataarnaq,False
3833,Gadus,False
3834,Emerald,False
3836,Norvezhskoe More,False
3854,Akraberg,False
3855,Breidtind,False
3856,Baldvin Njalsson,False
4043,Magne Arvesen,False
4068,Tuugaalik,False
277,Ilivileq,False
278,Otto N Thorlaksson VE 5,False
279,Malmey SK 1,False
280,Ljosafell SU 70,False
281,Sidia I,False
282,Oukaume,False
284,Klakkur SK 5,False
286,Elizabeth H,False
287,Kúrberg,False
291,Soley Sigurjons GK 200,False
292,Ibno Al Khattib,False
293,Múlaberg SI 22,False
314,Drangey,False
572,Bjorg,False
573,Breki VE61,False
147,O. Husby,False
153,Klakkur,False
297,Max GK-15,False
302,Núpur BA 690,False
304,Nupur BA 69,False
305,Hrafn,False
307,Grímsi,False
308,Erling KE140,False
343,Loran,False
345,Leinebris Jr.,False
559,Masilik,False
581,Kambur,False
584,Veidar,False
601,Antias,False
623,Kapelan,False
632,Kaprodon,False
125,Haraldson,False
133,Arctic Eagle,False
176,Vima,False
208,Kingfisher,False
338,Polar Enterprise,False
341,Tromsbas,False
347,Northeastern,False
349,Prowess,False
352,RØSTNESVÅG,False
583,Arctic Opilio,False
618,Gemma,False
